agency_cd,site_no,days_2010,days_2015,days_all,years_2010,years_2015,years_all,site_no,siteName,CLASS,AGGECOREGION,DRAIN_SQKM,HUC02,LAT_GAGE,LONG_GAGE,STATE,ACTIVE09,FLOWYRS_1900_2009,FLOWYRS_1950_2009,FLOWYRS_1990_2009
USGS,1434025,3975,2149,13679,11,6,38,01434025,BISCUIT BK ABOVE PIGEON BK AT FROST VALLEY NY,Ref,NorthEast,9.7002,2,41.99537004,-74.50098708,NY,yes,26,26,20
USGS,1435000,3979,2153,29556,11,6,83,01435000,NEVERSINK RIVER NEAR CLARYVILLE NY,Ref,NorthEast,172.458,2,41.89009153,-74.58987933,NY,yes,68,58,20
USGS,1439500,3983,2157,40965,11,6,113,01439500,"Bush Kill at Shoemakers, PA",Ref,NorthEast,305.8776,2,41.08815078,-75.03767469,PA,yes,101,60,20
USGS,1440000,3983,2157,35487,11,6,98,01440000,FLAT BROOK NEAR FLATBROOKVILLE NJ,Ref,NorthEast,167.7204,2,41.10666667,-74.9522222,NJ,yes,86,60,20
USGS,1440400,3983,2157,23068,11,6,64,01440400,"Brodhead Creek near Analomink, PA",Ref,NorthEast,175.2084,2,41.08481482,-75.21462514,PA,yes,52,52,20
USGS,1451800,3983,2157,20023,11,6,55,01451800,"Jordan Creek near Schnecksville, PA",Ref,EastHghlnds,135.8448,2,40.66176219,-75.626854,PA,yes,43,43,20
USGS,1466500,3983,2157,24529,11,6,68,01466500,MCDONALDS BRANCH IN LEBANON STATE FOREST NJ,Ref,SECstPlain,5.376711,2,39.885,-74.50527778,NJ,yes,56,56,20
USGS,1484100,3983,2157,22856,11,6,63,01484100,"BEAVERDAM BRANCH AT HOUSTON, DE",Ref,SECstPlain,9.004751,2,38.90577778,-75.51275,DE,yes,51,51,20
USGS,1485500,3983,2157,25929,11,6,72,01485500,"NASSAWANGO CREEK NEAR SNOW HILL, MD",Ref,SECstPlain,141.5394,2,38.22891667,-75.47144444,MD,yes,59,59,20
USGS,1486000,3983,2157,24316,11,6,68,01486000,"MANOKIN BRANCH NEAR PRINCESS ANNE, MD",Ref,SECstPlain,11.1807,2,38.21388889,-75.67138889,MD,yes,55,55,20
USGS,1487000,3983,2157,28365,11,6,78,01487000,"NANTICOKE RIVER NEAR BRIDGEVILLE, DE",Ref,SECstPlain,187.4102,2,38.72833333,-75.56186111,DE,yes,66,60,20
USGS,1491000,3983,2157,26629,11,6,73,01491000,"CHOPTANK RIVER NEAR GREENSBORO, MD",Ref,SECstPlain,292.0401,2,38.99719444,-75.78580556,MD,yes,61,60,20
USGS,1510000,3983,2157,28280,11,6,79,01510000,OTSELIC RIVER AT CINCINNATUS NY,Ref,NorthEast,382.986,2,42.54118127,-75.8996425,NY,yes,66,55,20
USGS,1516500,3979,2153,24313,11,6,67,01516500,"Corey Creek near Mainesburg, PA",Ref,NorthEast,31.4838,2,41.79090746,-77.01468773,PA,yes,55,55,20
USGS,1518862,3982,2156,13632,11,6,38,01518862,"Cowanesque River at Westfield, PA",Ref,NorthEast,233.9109,2,41.92312576,-77.53192977,PA,yes,26,26,20
USGS,1532000,3983,2157,39016,11,6,107,01532000,"Towanda Creek near Monroeton, PA",Ref,NorthEast,553.941,2,41.7070195,-76.48466538,PA,yes,95,60,20
USGS,1539000,3983,2157,30127,11,6,83,01539000,"Fishing Creek near Bloomsburg, PA",Ref,EastHghlnds,701.7795,2,41.07814118,-76.43105551,PA,yes,71,60,20
USGS,1542810,3983,2157,20541,11,6,57,01542810,"Waldy Run near Emporium, PA",Ref,NorthEast,13.6242,2,41.57895225,-78.29251214,PA,yes,45,45,20
USGS,1543000,3983,2157,39139,11,6,108,01543000,"Driftwood Br Sinnemahoning Cr at Sterling Run, PA",Ref,NorthEast,705.4974,2,41.41339593,-78.19695238,PA,yes,96,60,20
USGS,1543500,3983,2157,30008,11,6,83,01543500,"Sinnemahoning Creek at Sinnemahoning, PA",Ref,NorthEast,1778.258,2,41.31728467,-78.10305957,PA,yes,71,60,20
USGS,1544500,3983,2157,29277,11,6,81,01544500,"Kettle Creek at Cross Fork, PA",Ref,NorthEast,355.0644,2,41.4758994,-77.82582513,PA,yes,69,60,20
USGS,1545600,3983,2157,20450,11,6,57,01545600,"Young Womans Creek near Renovo, PA",Ref,NorthEast,119.9975,2,41.38951168,-77.6908191,PA,yes,44,44,20
USGS,1547700,3983,2157,23799,11,6,66,01547700,"Marsh Creek at Blanchard, PA",Ref,EastHghlnds,113.5386,2,41.05950916,-77.60582641,PA,yes,54,54,20
USGS,1548500,3983,2157,37313,11,6,103,01548500,"Pine Creek at Cedar Run, PA",Ref,NorthEast,1557.047,2,41.52173586,-77.44747983,PA,yes,91,60,20
USGS,1549500,3983,2157,29277,11,6,81,01549500,"Blockhouse Creek near English Center, PA",Ref,NorthEast,97.4853,2,41.47368336,-77.23080907,PA,yes,69,60,20
USGS,1550000,3983,2157,39078,11,6,108,01550000,"Lycoming Creek near Trout Run, PA",Ref,NorthEast,452.6757,2,41.41840957,-77.03274598,PA,yes,95,60,20
USGS,1552000,3983,2157,34390,11,6,96,01552000,"Loyalsock Creek at Loyalsockville, PA",Ref,NorthEast,1129.486,2,41.32507836,-76.91246379,PA,yes,83,59,20
USGS,1552500,3983,2157,29277,11,6,81,01552500,"Muncy Creek near Sonestown, PA",Ref,NorthEast,60.6384,2,41.35702418,-76.53467084,PA,yes,69,60,20
USGS,1557500,3983,2157,27816,11,6,77,01557500,"Bald Eagle Creek at Tyrone, PA",Ref,EastHghlnds,115.2963,2,40.68367333,-78.23362439,PA,yes,65,60,20
USGS,1564500,3983,2157,30130,11,6,83,01564500,"Aughwick Creek near Three Springs, PA",Ref,EastHghlnds,445.5612,2,40.21258144,-77.92527644,PA,yes,71,60,20
USGS,1567500,3983,2157,24406,11,6,67,01567500,"Bixler Run near Loysville, PA",Ref,EastHghlnds,38.7729,2,40.37091615,-77.40220903,PA,yes,55,55,20
USGS,1568000,3983,2157,33295,11,6,92,01568000,"Sherman Creek at Shermans Dale, PA",Ref,EastHghlnds,534.3948,2,40.32341928,-77.16887034,PA,yes,80,60,20
USGS,1580000,3983,2157,34391,11,6,95,01580000,"DEER CREEK AT ROCKS, MD",Ref,SEPlains,244.3698,2,39.62997222,-76.40330556,MD,yes,83,60,20
USGS,1583500,3983,2157,27846,11,6,77,01583500,"WESTERN RUN AT WESTERN RUN, MD",Ref,SEPlains,155.8494,2,39.51077778,-76.6765,MD,yes,65,60,20
USGS,1586610,3983,2157,13937,11,6,39,01586610,"MORGAN RUN NEAR LOUISVILLE, MD",Ref,SEPlains,72.7047,2,39.45188889,-76.95530556,MD,yes,27,27,20
USGS,1591400,3983,2157,15515,11,6,43,01591400,"CATTAIL CREEK NEAR GLENWOOD, MD",Ref,SEPlains,59.094,2,39.25597222,-77.05105556,MD,yes,31,31,20
USGS,1594950,3835,2009,12328,11,6,35,01594950,"MCMILLAN F NEAR FORT PENDLETON, MD",Ref,EastHghlnds,6.1182,2,39.27669,-79.39031,MD,yes,23,23,20
USGS,1596500,3983,2157,26368,11,6,73,01596500,"SAVAGE RIVER NEAR BARTON, MD",Ref,EastHghlnds,124.6505,2,39.57005556,-79.10194444,MD,yes,61,60,20
USGS,1605500,3983,2157,26873,11,6,75,01605500,"SOUTH BRANCH POTOMAC RIVER AT FRANKLIN, WV",Ref,EastHghlnds,463.8492,2,38.63567247,-79.33781993,WV,yes,62,53,20
USGS,1606500,3983,2157,33757,11,6,93,01606500,"SO. BRANCH POTOMAC RIVER NR PETERSBURG, WV",Ref,EastHghlnds,1684.547,2,38.99122107,-79.17587059,WV,yes,81,60,20
USGS,1613050,3983,2157,20122,11,6,56,01613050,"Tonoloway Creek near Needmore, PA",Ref,EastHghlnds,27.8982,2,39.89842119,-78.13222904,PA,yes,42,42,20
USGS,1620500,3983,2157,27086,11,6,75,01620500,"NORTH RIVER NEAR STOKESVILLE, VA",Ref,EastHghlnds,44.74026,2,38.33762566,-79.24003625,VA,yes,63,60,20
USGS,1632000,3983,2157,34939,11,6,96,01632000,"N F SHENANDOAH RIVER AT COOTES STORE, VA",Ref,EastHghlnds,543.357,2,38.63706254,-78.852803,VA,yes,84,60,20
USGS,1632900,3983,2157,22033,11,6,61,01632900,"SMITH CREEK NEAR NEW MARKET, VA",Ref,EastHghlnds,245.0484,2,38.69345016,-78.64279353,VA,yes,49,49,20
USGS,1634500,3983,2157,30373,11,6,84,01634500,"CEDAR CREEK NEAR WINCHESTER, VA",Ref,EastHghlnds,263.9817,2,39.08121763,-78.32944861,VA,yes,72,60,20
USGS,1638480,3983,2157,18017,11,6,51,01638480,"CATOCTIN CREEK AT TAYLORSTOWN, VA",Ref,SEPlains,231.9951,2,39.25454651,-77.57637775,VA,yes,38,38,20
USGS,1639500,3983,2157,26721,11,6,74,01639500,"BIG PIPE CREEK AT BRUCEVILLE, MD",Ref,SEPlains,267.1785,2,39.61236111,-77.23744444,MD,yes,62,60,20
USGS,1644000,3983,2157,34349,11,6,95,01644000,"GOOSE CREEK NEAR LEESBURG, VA",Ref,SEPlains,859.1698,2,39.01955309,-77.57749181,VA,yes,81,60,20
USGS,1658500,3983,2157,25413,11,6,70,01658500,"S F QUANTICO CREEK NEAR INDEPENDENT HILL, VA",Ref,SEPlains,19.34224,2,38.5873427,-77.4285958,VA,yes,58,58,20
USGS,1664000,3980,2154,28544,11,6,79,01664000,"RAPPAHANNOCK RIVER AT REMINGTON, VA",Ref,SEPlains,1605.101,2,38.53067996,-77.81360454,VA,yes,67,60,20
USGS,1666500,3983,2157,28246,11,6,78,01666500,"ROBINSON RIVER NEAR LOCUST DALE, VA",Ref,SEPlains,463.1463,2,38.32513047,-78.0955557,VA,yes,66,60,20
USGS,1667500,3983,2157,32930,11,6,91,01667500,"RAPIDAN RIVER NEAR CULPEPER, VA",Ref,SEPlains,1209.747,2,38.35040774,-77.97499722,VA,yes,79,60,20
USGS,1669000,3982,2156,25259,11,6,70,01669000,"PISCATAWAY CREEK NEAR TAPPAHANNOCK, VA",Ref,SEPlains,71.84071,2,37.87708193,-76.90052102,VA,yes,58,58,20
USGS,1669520,3983,2157,14350,11,6,40,01669520,"DRAGON SWAMP AT MASCOT, VA",Ref,SEPlains,277.3854,2,37.63375293,-76.69634683,VA,yes,28,28,20
USGS,2011400,3983,2157,16859,11,6,47,02011400,"JACKSON RIVER NEAR BACOVA, VA",Ref,EastHghlnds,407.7162,2,38.04234707,-79.88144394,VA,yes,35,35,20
USGS,2011460,3983,2157,16951,11,6,47,02011460,"BACK CREEK NEAR SUNRISE, VA",Ref,EastHghlnds,156.3408,2,38.24540129,-79.76866328,VA,yes,35,35,20
USGS,2013000,3983,2157,33660,11,6,93,02013000,"DUNLAP CREEK NEAR COVINGTON, VA",Ref,EastHghlnds,424.7766,2,37.80290223,-80.04700431,VA,yes,81,60,20
USGS,2014000,3983,2157,30372,11,6,85,02014000,"POTTS CREEK NEAR COVINGTON, VA",Ref,EastHghlnds,396.783,2,37.72901408,-80.04228024,VA,yes,72,51,20
USGS,2015700,3983,2157,22033,11,6,61,02015700,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",Ref,EastHghlnds,285.4062,2,38.19540308,-79.57032338,VA,yes,49,49,20
USGS,2016000,3983,2157,34756,11,6,96,02016000,"COWPASTURE RIVER NEAR CLIFTON FORGE, VA",Ref,EastHghlnds,1194.551,2,37.79179587,-79.75949166,VA,yes,84,60,20
USGS,2017500,3983,2157,34391,11,6,95,02017500,"JOHNS CREEK AT NEW CASTLE, VA",Ref,EastHghlnds,276.1497,2,37.50623973,-80.10671504,VA,yes,83,60,20
USGS,2018000,3983,2157,34939,11,6,96,02018000,"CRAIG CREEK AT PARR, VA",Ref,EastHghlnds,852.3431,2,37.66596174,-79.91143881,VA,yes,84,60,20
USGS,2027000,3983,2157,30008,11,6,83,02027000,"TYE RIVER NEAR LOVINGSTON, VA",Ref,EastHghlnds,240.7671,2,37.71541868,-78.98169097,VA,yes,71,60,20
USGS,2027500,3983,2157,25990,11,6,72,02027500,"PINEY RIVER AT PINEY RIVER, VA",Ref,EastHghlnds,123.3423,2,37.70236251,-79.02752541,VA,yes,60,60,20
USGS,2028500,3983,2157,28365,11,6,78,02028500,"ROCKFISH RIVER NEAR GREENFIELD, VA",Ref,EastHghlnds,245.4534,2,37.86958499,-78.82335431,VA,yes,66,60,20
USGS,2038850,3983,2157,19938,11,6,55,02038850,"HOLIDAY CREEK NEAR ANDERSONVILLE, VA",Ref,SEPlains,22.00359,2,37.41542434,-78.63583923,VA,yes,43,43,20
USGS,2046000,3983,2157,27086,11,6,75,02046000,"STONY CREEK NEAR DINWIDDIE, VA",Ref,SEPlains,288.5238,3,37.06709421,-77.602489,VA,yes,63,60,20
USGS,2051000,3983,2157,26720,11,6,75,02051000,"NORTH MEHERRIN RIVER NEAR LUNENBURG, VA",Ref,SEPlains,144.8227,3,36.99737383,-78.34971815,VA,yes,62,59,20
USGS,2051500,3982,2156,33567,11,6,92,02051500,"MEHERRIN RIVER NEAR LAWRENCEVILLE, VA",Ref,SEPlains,1428.706,3,36.71681395,-77.83165822,VA,yes,80,60,20
USGS,2053200,3983,2157,22886,11,6,63,02053200,"POTECASI CREEK NEAR UNION, NC",Ref,SECstPlain,583.6599,3,36.37083333,-77.02555556,NC,yes,51,51,20
USGS,2053800,3983,2157,21972,11,6,61,02053800,"S F ROANOKE RIVER NEAR SHAWSVILLE, VA",Ref,EastHghlnds,280.7226,3,37.14013231,-80.26643281,VA,yes,49,49,20
USGS,2055100,3982,2156,23585,11,6,65,02055100,"TINKER CREEK NEAR DALEVILLE, VA",Ref,EastHghlnds,30.5352,3,37.41763318,-79.93531928,VA,yes,53,53,20
USGS,2056900,3983,2157,16128,11,6,45,02056900,"BLACKWATER RIVER NEAR ROCKY MOUNT, VA",Ref,SEPlains,298.1079,3,37.0451406,-79.8441993,VA,yes,33,33,20
USGS,2059500,3983,2157,32930,11,6,91,02059500,"GOOSE CREEK NEAR HUDDLESTON, VA",Ref,SEPlains,485.4078,3,37.17319951,-79.5203076,VA,yes,79,60,20
USGS,2064000,3566,1740,30320,11,6,86,02064000,"FALLING RIVER NEAR NARUNA, VA",Ref,SEPlains,427.7682,3,37.12680956,-78.95973745,VA,yes,73,60,20
USGS,2065500,3983,2157,27086,11,6,75,02065500,"CUB CREEK AT PHENIX, VA",Ref,SEPlains,252.5787,3,37.07931121,-78.76361777,VA,yes,63,60,20
USGS,2069700,3983,2157,21242,11,6,59,02069700,"SOUTH MAYO RIVER NEAR NETTLERIDGE, VA",Ref,SEPlains,221.1336,3,36.57097103,-80.12949277,VA,yes,47,47,20
USGS,2070000,3983,2157,33293,11,6,93,02070000,"NORTH MAYO RIVER NEAR SPENCER, VA",Ref,SEPlains,270.6084,3,36.56819358,-79.98726539,VA,yes,80,60,20
USGS,2074500,3983,2157,33295,11,6,92,02074500,"SANDY RIVER NEAR DANVILLE, VA",Ref,SEPlains,288.531,3,36.61958252,-79.50419322,VA,yes,80,60,20
USGS,2077200,3983,2157,20572,11,6,57,02077200,"HYCO CREEK NEAR LEASBURG, NC",Ref,SEPlains,121.6944,3,36.39777778,-79.19666667,NC,yes,45,45,20
USGS,2081500,3983,2157,29643,11,6,82,02081500,"TAR RIVER NEAR TAR RIVER, NC",Ref,SEPlains,428.3661,3,36.19416667,-78.58305556,NC,yes,70,60,20
USGS,2082950,3983,2157,22338,11,6,62,02082950,"LITTLE FISHING CREEK NEAR WHITE OAK, NC",Ref,SEPlains,460.8531,3,36.18333333,-77.87611111,NC,yes,50,50,20
USGS,2084557,3983,2157,15927,11,6,44,02084557,"VAN SWAMP NEAR HOKE, NC",Ref,SECstPlain,56.13005,3,35.73083333,-76.74611111,NC,yes,32,32,20
USGS,2092500,3983,2157,25533,11,6,70,02092500,"TRENT RIVER NEAR TRENTON, NC",Ref,SECstPlain,447.5751,3,35.06416667,-77.46138889,NC,yes,58,58,20
USGS,2102908,3983,2157,19172,11,6,53,02102908,"FLAT CREEK NEAR INVERNESS, NC",Ref,SEPlains,19.7253,3,35.18277778,-79.1775,NC,yes,41,41,20
USGS,2108000,3981,2155,29336,11,6,81,02108000,"NORTHEAST CAPE FEAR RIVER NEAR CHINQUAPIN, NC",Ref,SEPlains,1569.485,3,34.82888889,-77.83222222,NC,yes,69,60,20
USGS,2110500,3983,2157,25826,11,6,71,02110500,"WACCAMAW RIVER NEAR LONGS, SC",Ref,SECstPlain,2908.315,3,33.9126719,-78.71501746,SC,yes,59,59,20
USGS,2111180,3983,2157,20146,11,6,56,02111180,"ELK CREEK AT ELKVILLE, NC",Ref,EastHghlnds,131.4666,3,36.07138889,-81.40305556,NC,yes,44,44,20
USGS,2111500,3983,2157,29643,11,6,82,02111500,"REDDIES RIVER AT NORTH WILKESBORO, NC",Ref,EastHghlnds,233.6607,3,36.175,-81.16888889,NC,yes,70,60,20
USGS,2118500,3983,2157,25533,11,6,70,02118500,"HUNTING CREEK NEAR HARMONY, NC",Ref,SEPlains,400.527,3,36.00055556,-80.74555556,NC,yes,58,58,20
USGS,2128000,3982,2156,24346,11,6,67,02128000,"LITTLE RIVER NEAR STAR, NC",Ref,SEPlains,273.4758,3,35.38722222,-79.83138889,NC,yes,55,55,20
USGS,2137727,3983,2157,14667,11,6,41,02137727,"CATAWBA R NR PLEASANT GARDENS, NC",Ref,EastHghlnds,329.544,3,35.68583333,-82.06027778,NC,yes,29,29,20
USGS,2140991,3983,2157,12994,11,6,36,02140991,"JOHNS RIVER AT ARNEYS STORE, NC",Ref,EastHghlnds,521.9865,3,35.83361111,-81.71194444,NC,yes,24,24,20
USGS,2143000,3983,2157,31133,11,6,86,02143000,"HENRY FORK NEAR HENRY RIVER, NC",Ref,EastHghlnds,216.6723,3,35.68444444,-81.40333333,NC,yes,73,60,20
USGS,2143040,3983,2157,21607,11,6,60,02143040,"JACOB FORK AT RAMSEY, NC",Ref,EastHghlnds,66.48413,3,35.59068629,-81.56703706,NC,yes,48,48,20
USGS,2149000,3983,2157,25533,11,6,70,02149000,"COVE CREEK NEAR LAKE LURE, NC",Ref,EastHghlnds,203.8527,3,35.42345364,-82.11149778,NC,yes,58,58,20
USGS,2152100,3983,2157,22552,11,6,62,02152100,"FIRST BROAD RIVER NEAR CASAR, NC",Ref,EastHghlnds,154.9944,3,35.49305556,-81.68222222,NC,yes,50,50,20
USGS,2177000,3981,2155,29641,11,6,82,02177000,"CHATTOOGA RIVER NEAR CLAYTON, GA",Ref,EastHghlnds,526.7736,3,34.81398141,-83.30599301,GA,yes,70,60,20
USGS,2178400,3983,2157,20589,11,6,57,02178400,"TALLULAH RIVER NEAR CLAYTON, GA",Ref,EastHghlnds,151.2753,3,34.89037075,-83.53044102,GA,yes,45,45,20
USGS,2193340,3982,2156,12643,11,6,35,02193340,"KETTLE CREEK NEAR WASHINGTON, GA",Ref,SEPlains,87.8733,3,33.68262815,-82.857923,GA,yes,23,23,20
USGS,2196000,3982,2156,28332,11,6,80,02196000,"STEVENS CREEK NEAR MODOC, SC",Ref,SEPlains,1408.382,3,33.72929717,-82.18178732,SC,yes,64,54,20
USGS,2198100,3983,2157,12592,11,6,35,02198100,"BEAVERDAM CREEK NEAR SARDIS, GA",Ref,SEPlains,79.49071,3,32.93765809,-81.8153916,GA,yes,23,23,20
USGS,2202600,3983,2157,14897,11,6,41,02202600,"BLACK CREEK NEAR BLITCHTON, GA",Ref,SECstPlain,590.472,3,32.16798033,-81.48816698,GA,yes,29,29,20
USGS,2212600,3982,2156,20596,11,6,57,02212600,"FALLING CREEK NEAR JULIETTE, GA",Ref,SEPlains,187.9614,3,33.0998535,-83.72351041,GA,yes,45,45,20
USGS,2215100,3982,2156,12658,11,6,35,02215100,"TUCSAWHATCHEE CREEK NEAR HAWKINSVILLE, GA",Ref,SEPlains,420.2923,3,32.23944444,-83.50166667,GA,yes,23,23,20
USGS,2216180,3980,2154,13842,11,6,38,02216180,"TURNPIKE CREEK NEAR MCRAE, GA",Ref,SEPlains,129.111,3,31.99138889,-82.92194444,GA,yes,26,26,20
